,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Up,Down,Left,Right
56,64,32,16,0,4,8,4,0,4,0,0,0,0,0,0,0,1,0,0,0
57,64,32,16,0,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0
58,64,32,16,0,16,8,0,0,2,0,0,0,0,0,0,0,0,0,1,0
59,64,32,16,0,16,8,2,0,2,0,0,0,0,0,0,0,1,0,0,0
60,64,32,16,0,16,8,2,0,2,0,4,0,0,0,0,0,1,0,0,0
61,64,32,16,2,16,8,2,0,2,4,0,0,0,0,0,0,0,0,1,0
62,64,32,16,4,16,8,2,0,2,4,0,0,0,0,0,0,1,0,0,0
63,64,32,16,4,16,8,4,0,2,4,0,0,0,0,0,0,1,0,0,0
64,64,32,16,4,0,16,8,4,0,0,2,4,0,0,0,2,0,0,0,1
65,64,32,16,8,2,16,8,4,0,0,2,2,0,0,0,0,1,0,0,0
66,64,32,16,8,2,16,8,4,0,0,0,4,0,0,0,4,0,0,0,1
67,64,32,16,8,2,16,8,8,0,2,0,4,0,0,0,0,1,0,0,0
68,64,32,16,16,4,16,8,4,0,2,0,0,0,0,0,0,1,0,0,0
69,64,32,32,0,4,16,8,4,2,0,0,0,2,0,0,0,0,0,1,0
70,64,64,0,0,4,16,8,4,2,0,0,0,4,0,0,0,0,0,1,0
71,128,0,0,0,4,16,8,4,2,0,0,0,8,0,0,0,0,0,1,0
72,128,16,8,4,4,0,2,0,2,0,0,0,8,0,0,0,1,0,0,0
73,128,16,8,4,4,0,4,0,2,0,0,0,8,0,0,0,1,0,0,0
74,128,16,8,4,8,0,0,0,2,0,0,0,8,2,0,0,0,0,1,0
75,128,16,8,4,8,4,0,0,2,0,0,0,8,0,0,0,1,0,0,0
76,128,16,8,4,8,4,0,2,2,0,0,0,8,0,0,0,1,0,0,0
77,128,16,8,4,0,8,4,2,0,0,0,2,0,0,8,4,0,0,0,1
78,128,16,8,4,0,8,4,4,0,2,8,4,0,0,0,0,1,0,0,0
79,128,16,8,8,2,8,4,4,0,2,8,0,0,0,0,0,1,0,0,0
80,128,16,16,0,2,8,8,0,2,8,0,0,2,0,0,0,0,0,1,0
81,128,16,16,0,4,16,8,0,2,0,2,0,0,0,0,0,1,0,0,0
82,128,32,0,0,4,16,8,0,4,2,0,0,0,0,0,0,0,0,1,0
83,128,32,8,0,8,16,4,0,0,2,0,0,0,0,0,0,1,0,0,0
84,128,32,8,2,8,16,4,0,0,2,0,0,0,0,0,0,1,0,0,0
85,128,32,8,2,8,16,4,0,0,4,0,0,0,0,0,0,1,0,0,0
86,128,32,8,2,8,16,4,0,4,2,0,0,0,0,0,0,0,0,1,0
87,128,32,8,2,8,16,4,0,4,4,0,0,0,0,0,0,0,0,1,0
88,128,32,8,2,8,16,4,0,8,2,0,0,0,0,0,0,0,0,1,0
89,128,32,8,2,16,16,4,0,4,2,0,0,0,0,0,0,1,0,0,0
90,128,32,8,2,0,0,32,4,0,0,4,4,0,0,0,0,0,0,0,1
91,128,32,8,2,2,32,4,0,8,0,0,0,0,0,0,0,0,0,1,0
92,128,64,8,2,2,0,4,0,8,0,0,0,2,0,0,0,1,0,0,0
93,128,64,8,4,2,0,4,0,8,0,0,0,2,0,0,0,1,0,0,0
94,128,64,8,4,0,0,2,4,0,0,0,8,0,0,0,4,0,0,0,1
95,128,64,8,8,0,2,2,8,0,0,0,4,0,0,0,0,1,0,0,0
96,128,64,16,0,4,2,8,0,4,0,0,0,0,0,0,0,0,0,1,0
97,128,64,16,2,8,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0
98,128,64,16,2,8,2,8,0,0,0,2,0,0,0,0,0,1,0,0,0
99,128,64,16,4,8,2,8,0,0,0,2,0,0,0,0,0,1,0,0,0
100,128,64,16,4,8,2,8,0,0,0,4,0,0,0,0,0,1,0,0,0
101,128,64,16,4,8,4,8,0,0,0,4,0,0,0,0,0,1,0,0,0
102,128,64,16,4,8,4,8,2,4,0,0,0,0,0,0,0,0,0,1,0
103,128,64,16,4,8,4,8,2,4,0,2,0,0,0,0,0,1,0,0,0
104,128,64,16,4,8,4,8,4,4,0,2,0,0,0,0,0,1,0,0,0
105,128,64,16,8,8,4,8,0,4,2,2,0,0,0,0,0,1,0,0,0
106,128,64,16,8,8,4,8,2,4,4,0,0,0,0,0,0,0,0,1,0
107,128,64,16,8,8,8,8,4,4,0,0,0,0,0,0,0,1,0,0,0
108,128,64,16,8,8,8,8,4,4,0,2,0,0,0,0,0,1,0,0,0
109,128,64,16,8,0,8,16,4,0,0,4,2,0,0,0,2,0,0,0,1
110,128,64,32,8,2,8,4,4,0,0,0,4,0,0,0,0,1,0,0,0
111,128,64,32,8,0,2,8,8,0,0,2,4,0,0,0,0,0,0,0,1
112,128,64,32,16,2,2,8,4,0,0,2,0,0,0,0,0,1,0,0,0
113,128,64,32,16,0,4,8,4,0,0,0,4,0,0,0,0,0,0,0,1
114,128,64,32,16,4,4,8,8,0,0,0,0,0,0,0,0,1,0,0,0
115,128,64,32,16,0,0,8,16,0,0,0,2,0,0,0,0,0,0,0,1
116,128,64,32,32,0,0,8,2,0,0,2,0,0,0,0,0,1,0,0,0
117,128,64,64,0,2,8,2,0,2,0,0,0,0,0,0,0,0,0,1,0
118,128,128,0,0,2,8,2,0,4,0,0,0,0,0,0,0,0,0,1,0
119,256,0,0,0,2,8,2,0,4,0,0,0,2,0,0,0,0,0,1,0
120,256,8,2,2,2,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0
121,256,8,4,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0
122,256,8,4,2,2,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
123,256,8,4,4,2,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
124,256,8,8,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,1,0
125,256,8,8,0,2,4,0,0,8,0,0,0,2,0,0,0,1,0,0,0
126,256,8,8,2,2,4,0,0,8,0,0,0,2,0,0,0,1,0,0,0
127,256,8,8,4,2,4,0,0,8,0,0,0,2,0,0,0,1,0,0,0
128,256,16,4,0,2,4,0,0,8,0,0,0,4,0,0,0,0,0,1,0
